Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,Pre-workshop survey: Are you using automated testing in your programming project(s)?,"Pre-workshop survey: Are you using code coverage analysis in your programming project(s)? These are tools and services like Gcov, Cobertura, Codecov, Coveralls, Code Climate, etc.",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using the Travis or Jenkins or GitLab CI continuous integration service in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Are you using an integrated development environment (IDE) for your programming project(s)?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: What do you expect to get from this course?
,,2018-10-22 12:12:15.360811+00:00,Linux,Ubuntu 16.04,Git,R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Wiki; Markdown; README files,GitHub; Bitbucket,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Biological Sciences,Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Git branch design; Reproducible research,1. Much better understanding of git other than commit and fork.    2. Improve coding habits for complex coding and modular coding.
,,2018-10-22 14:00:01.069008+00:00,macOS,OS X 10.9.5,Git,R; Python,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know what it is,Comments in the source code,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,I would like to learn skills and tools that can help me to program more efficiently and in a reproducible way. I would also like to know good practices about documentation and programming.
,,2018-10-24 08:49:43.231583+00:00,Windows,window 10,I don't use version control but I know what it is,R,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)","Agriculture, Forestry and Fisheries",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Reproducible research,Be more efficient in version control and code management
,,2018-11-02 08:55:23.218872+00:00,Linux,Arch Linux,Git,Matlab; Python; C++; Fortran 90+,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Markdown,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Documentation; Collaborative distributed version control; Automated testing; Building portable code with CMake,A systematic introduction
,,2018-11-02 13:56:24.677475+00:00,macOS,10.14,I don't use version control but I know what it is,Python; C; Fortran 77,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Physical Sciences,Documentation; Collaborative distributed version control; Automated testing; Integrated development environments; Reproducible research,"I want to know how to make an sustainable code development project for scientific research such as version control, automatic testing, documentation, code review etc."
,,2018-11-03 15:13:48.197552+00:00,Linux,arch linux 64bit (up-to-date),Git,R; Python; C; C++,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know what it is,Comments in the source code,GitHub; GitLab,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Chemical Sciences,Collaborative distributed version control; Managing complexity and modular code development; Building portable code with CMake; Archaeology with Git; Git branch design; Software licensing; Reproducible research,Better insight into professional software development for scientific computation.
,,2018-11-05 08:41:40.810067+00:00,Linux,Ubuntu,I don't use version control but I know what it is,R; Python; Other,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Archaeology with Git; Git branch design; Reproducible research,I hope to get the tools to actually start using a repository and get a better version control system for our scripts. In general be become a better programmer.
,,2018-11-05 15:50:21.505886+00:00,macOS,OS X El Capitan (version 10.11.6),Git; Subversion,Python; Other,Yes,No but I know what it is,No but I know what it is,Yes,Comments in the source code,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Software licensing; Reproducible research,learn better way to code research software
,,2018-11-07 07:12:17.061392+00:00,macOS,macOS High Sierra     Version 10.13.6,Git,R; Python; Go; Other,No but I know what it is,No and I don't know what it is,No but I know what it is,No but I know what it is,Comments in the source code; Markdown; README files; Other,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Jupyter notebooks; Managing complexity and modular code development; Automated testing; Archaeology with Git; Git branch design; Software licensing; Reproducible research,"I hope I will get guidelines regarding the best practices in software development. Also tips and ideas about code review and automated testing, as well as references about specific tools"
,,2018-11-07 07:36:16.610682+00:00,Windows,10,Git,R; Other,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; Doxygen; PDF; HMTL; Markdown; README files,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Archaeology with Git; Git branch design,I use very basic git and github. I am hoping to learn more advanced git usage. More about collaborative software development and automated testing.
