Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,Pre-workshop survey: Are you using automated testing in your programming project(s)?,"Pre-workshop survey: Are you using code coverage analysis in your programming project(s)? These are tools and services like Gcov, Cobertura, Codecov, Coveralls, Code Climate, etc.",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using the Travis or Jenkins or GitLab CI continuous integration service in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Are you using an integrated development environment (IDE) for your programming project(s)?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: What do you expect to get from this course?
,,2019-04-17 09:39:48.340993+00:00,macOS,macOS Mojave    Version 10.14.3,Git,R,No but I know what it is,No and I don't know what it is,Yes,No but I know what it is,Markdown,GitLab,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Environmental Biotechnology,Introduction to version control; Collaborative distributed version control; Automated testing; Git branch design; Reproducible research,
,,2019-04-29 13:30:10.910188+00:00,macOS,,Git,Matlab; Python,No but I know what it is,No but I know what it is,No but I know what it is,No but I know what it is,Comments in the source code; Markdown; README files,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)","Electrical Engineering, Electronic Engineering, Information Engineering",Jupyter notebooks; Managing complexity and modular code development; Automated testing; Integrated development environments; Archaeology with Git; Git branch design; Software licensing,Increase my skill in software development
,,2019-04-30 09:55:06.442861+00:00,Linux,Manjaro,Git,R; C++; Julia; Haskell; Other,No but I know what it is,No but I know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; Doxygen; README files; Other,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Mathematics,Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Archaeology with Git; Git branch design; Software licensing; Reproducible research,An improved general workflow and mindset as well as an idea of how to navigate the landscape of software licensing. I'd very much like to get an idea of how e.g. a software-based company can contribute free software and be profitable at the same time.
,,2019-05-03 08:31:19.431181+00:00,Windows,win10,Git,Python; C,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)","Electrical Engineering, Electronic Engineering, Information Engineering",Documentation; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Archaeology with Git; Git branch design; Software licensing, learn to write structured code    - be able to make more readable code    - learn to make better documentation    - learn new must-know tools
,,2019-05-09 16:25:12.126708+00:00,Linux,Ubuntu 18.04.2,Git,Matlab; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Markdown; README files,GitHub; GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Archaeology with Git; Git branch design; Software licensing; Reproducible research,"I expect to learn :    - good coding practices    - develop my style of documentation    - explore new technologies that could make me a better software developer    - making better use of version control systems    - and all the new terms, which I got a glimpse of, in the survey  !"
,,2019-05-10 11:30:21.892674+00:00,macOS,Mojave 10.14.4,I don't use version control and I don't know what it is,Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No documentation; Comments in the source code,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Chemical Sciences,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,
,,2019-05-13 08:32:22.686883+00:00,Windows,Windows 10,Git,Matlab; Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; PDF,GitHub; Other,I have written my own simple programs,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Civil Engineering,Introduction to version control; Documentation; Managing complexity and modular code development; Automated testing; Reproducible research,I expect to get a better overview on the best modern software development practices that i can try to follow in my research software project
,,2019-05-15 14:20:29.905980+00:00,Windows,10,I don't use version control and I don't know what it is,Matlab,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No documentation; Comments in the source code,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Civil Engineering,Introduction to version control; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Software licensing; Reproducible research,We started developing a physical engine. We hope to develop it into commercial software. A lot of team work and version management ahead.
,,2019-05-20 09:55:11.541542+00:00,macOS,Mojave (10.14.3),Git,Python,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know what it is,Comments in the source code,Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Civil Engineering,Introduction to version control; Documentation; Collaborative distributed version control; Automated testing,"A better workflow for my work. I need to have version control, and code testing better implemented in my word. So hopefully I get som inspiration from this course."
,,2019-05-20 10:07:01.542276+00:00,Windows,Windows 10 64bit,Git,Matlab,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,No and I don't know what it is,"Electrical Engineering, Electronic Engineering, Information Engineering",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Reproducible research,Version control and more about Git and documentation
