Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,Pre-workshop survey: Are you using automated testing in your programming project(s)?,"Pre-workshop survey: Are you using code coverage analysis in your programming project(s)? These are tools and services like Gcov, Cobertura, Codecov, Coveralls, Code Climate, etc.",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using the Travis or Jenkins or GitLab CI continuous integration service in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Are you using an integrated development environment (IDE) for your programming project(s)?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: What do you expect to get from this course?
,,2019-03-01 13:28:09.965194+00:00,Windows,,Git,Python; C,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mechanical Engineering,Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Reproducible research,
,,2019-03-01 14:08:13.940570+00:00,macOS,macOS High Sierra 10.13.6,Subversion,Matlab; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; PDF; README files,Other,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mechanical Engineering,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Automated testing; Building portable code with CMake; Integrated development environments; Software licensing; Reproducible research,"I expect to have an idea of best practice guidelines, suggestions and examples regarding co-development of large codes."
,,2019-03-02 13:41:03.128381+00:00,Windows,Windows 7 Enterprise,I don't use version control but I know what it is,Matlab,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,Bitbucket,I have written my own simple programs,I do not know what most of these commands do,I know what IDEs are but have not tried any,Mathematics,Introduction to version control; Managing complexity and modular code development; Automated testing; Software licensing,I expect to receive some structured information about several technical aspects of programming of which I am not confident at the moment.
,,2019-03-04 07:47:51.014439+00:00,Windows,Windows 10,I don't use version control but I know what it is,Matlab; R; Python,No but I know what it is,No but I know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Markdown,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mathematics,Reproducible research,
,,2019-03-05 09:39:02.618200+00:00,macOS,macOS Mojave Version 10.14.3,I don't use version control but I know what it is,Matlab; Python; C++,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mechanical Engineering,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Integrated development environments; Reproducible research,
,,2019-03-05 18:12:57.569452+00:00,macOS,macOS Majave 10.14.3,Git,Matlab; Python; Perl,No and I don't know what it is,No and I don't know what it is,Yes,No and I don't know what it is,Comments in the source code; Wiki; Markdown; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Integrated development environments; Git branch design; Reproducible research,
,,2019-03-05 20:14:10.466838+00:00,macOS,macOS Mojave,Git,Matlab; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Markdown; README files,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Biological Sciences,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,
,,2019-03-06 10:00:54.155312+00:00,macOS,10.13.6,Git,Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Markdown; README files,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Automated testing; Git branch design; Reproducible research,To learn and practice best ways and tools of maintaining and sharing research code.
,,2019-03-12 10:23:40.913545+00:00,macOS,macOS Mojave Version 10.14.3,Git,Matlab,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitLab,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Chemical Sciences,,A broader view on programming possibilities
,,2019-03-12 15:55:47.076608+00:00,Windows,8.1,I don't use version control and I don't know what it is,Matlab; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; PDF; README files,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Jupyter notebooks; Reproducible research,"refine my programming skills which are summarized by writing simple code to perform a complex series of mathematical operations to analyze, visualize and interpret data."
,,2019-03-13 10:00:49.799850+00:00,Linux,Ubuntu 18.04,Git,Matlab; R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mathematics,Jupyter notebooks; Managing complexity and modular code development; Automated testing; Git branch design,
,,2019-03-13 10:19:29.560326+00:00,Windows,Win10 & Linux (Ubuntu LTS18) (Undecided),Git,Matlab; Python; Fortran 90+,No but I know what it is,No but I know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mechanical Engineering,Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake,Improve knowledge to make my software projects     * Easier for others to contribute to    * Easier to expand and maintain    * Ensure correct functionality
,,2019-03-13 10:50:49.154102+00:00,macOS,Version 10.14.3,Git,Matlab; R; Python,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know what it is,Comments in the source code; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mathematics,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Archaeology with Git; Git branch design,An introduction to the tools that can be used to enable more efficient testing and better collaboration.
,,2019-03-13 11:30:46.403878+00:00,Linux,Ubuntu mate 18.04,Git,Matlab; Python; C++,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Doxygen; Markdown; README files,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Chemical Engineering,Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,
,,2019-03-13 12:03:15.620977+00:00,Linux,Arch Linux,I don't use version control but I know what it is,Python; C; Fortran 90+,No and I don't know what it is,No but I know what it is,No but I know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Physical Sciences,Managing complexity and modular code development; Automated testing; Archaeology with Git; Git branch design; Reproducible research,"I do a lot of programming in my research, but I barely know the basics of Git and would like to learn more. Managing complexity is something that would be very usefil also! And automated testing. I only do manual testing, very unstructured, so I would like to learn about automated testing."
,,2019-03-13 12:51:17.534245+00:00,Windows,win 10,I don't use version control and I don't know what it is,Matlab; Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)","Electrical Engineering, Electronic Engineering, Information Engineering",Jupyter notebooks,
,,2019-03-14 07:37:39.322986+00:00,Windows,windows 10,Git,Fortran 77; Fortran 90+,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Managing complexity and modular code development; Building portable code with CMake,how to write example makefile and jobscript to distribute mpi and openmp job.
,,2019-03-14 13:21:04.140789+00:00,Linux,Ubuntu LTS 18.04,I don't use version control but I know what it is,Python; Other,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Introduction to version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,Generally help me get better at what I do for my work :)
,,2019-04-08 09:12:49.380179+00:00,Linux,"Linux subsystem on Windows 10, essentially Ubuntu.",Git,Python; C++,Yes,No but I know what it is,No but I know what it is,Yes,Comments in the source code; RST/Sphinx; readthedocs.org; README files,GitHub; GitLab; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mechanical Engineering,Managing complexity and modular code development; Automated testing; Building portable code with CMake; Reproducible research,"I am the person promoting these type of tools/techniques in my group, so main goal is to create a common reference frame with other people from my group that will attend the workshop. There are also some tools that I have not used that would be fun to learn about, e.g CMake"
,,2019-04-08 09:14:18.891207+00:00,Windows,,Git,Matlab; Python; C++; Fortran 77; Haskell,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,No and I don't know what it is,Chemical Engineering,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,to gain new avenues/perspectives/suggestions for self-development
,,2019-04-08 09:18:50.398967+00:00,macOS,IOS 12,Git,Matlab; C; C++,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; PDF,GitLab,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Materials Engineering,Introduction to version control; Documentation; Managing complexity and modular code development; Software licensing; Reproducible research,How to make clean and ordered code
