Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,Pre-workshop survey: Are you using automated testing in your programming project(s)?,"Pre-workshop survey: Are you using code coverage analysis in your programming project(s)? These are tools and services like Gcov, Cobertura, Codecov, Coveralls, Code Climate, etc.",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using the Travis or Jenkins or GitLab CI continuous integration service in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Are you using an integrated development environment (IDE) for your programming project(s)?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: What do you expect to get from this course?
,,2019-01-10 15:44:44.339395+00:00,macOS,10.11.3,I don't use version control but I know what it is,R; Perl,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Biological Sciences,Introduction to version control; Jupyter notebooks; Automated testing; Git branch design; Software licensing; Reproducible research,"I'd like to increase my potential in bioinformatics by learning more about the ""technical"" part, since my background on computer sciences is smaller than in biology."
,,2019-01-10 16:41:38.607780+00:00,Windows,Windows 10,Git; Subversion,Matlab; Python; Julia,No but I know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Comments in the source code; PDF; Markdown; README files,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mechanical Engineering,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,
,,2019-01-11 08:44:38.031155+00:00,macOS,"macOS Sierra, version 10.12.6",I don't use version control but I know what it is; Git,Python; Fortran 90+,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; MkDocs,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,Be better at version control and implement it in my daily programming-work
,,2019-01-11 08:49:26.404637+00:00,macOS,"OS X El Capitan, version 10.11.6",Git,Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Physical Sciences,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Automated testing; Integrated development environments; Archaeology with Git; Git branch design; Reproducible research,
,,2019-01-11 09:27:27.303447+00:00,macOS,macOS High Sierra,I don't use version control but I know what it is,Python; Fortran 90+,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Introduction to version control; Managing complexity and modular code development; Automated testing; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,
,,2019-01-11 10:16:33.946907+00:00,Windows,Win7,Git,Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Health Sciences,Introduction to version control; Documentation; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Archaeology with Git; Git branch design; Reproducible research,To gain as mush knowledge as possible.
,,2019-01-19 20:50:46.516613+00:00,macOS,Mojave,Git,R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No documentation; PDF; Markdown; Other,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Biological Sciences,Documentation; Managing complexity and modular code development; Automated testing; Archaeology with Git; Git branch design; Reproducible research,"I hope to improve my code writing skills, learn how to manage complex programs, how to test code, write code collaboratively and find out more on reproducible research."
,,2019-01-22 13:12:11.931964+00:00,macOS,10.13.6,I don't use version control but I know what it is; Git,Matlab; Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Introduction to version control; Documentation; Collaborative distributed version control; Automated testing; Reproducible research,to learn to handle with codes with the best way possible
,,2019-01-25 08:20:11.709822+00:00,macOS,Version 10.13.6,I don't use version control and I don't know what it is,Matlab; R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub; GitLab,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Health Sciences,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Integrated development environments; Git branch design,Basic understanding of coding standards and  standard practices in development environment
,,2019-01-25 12:21:48.766259+00:00,Linux,Ubuntu 18.10,Git,R; Python; Other,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Biological Sciences,Managing complexity and modular code development; Reproducible research,
,,2019-01-25 15:06:57.649776+00:00,Linux,Debian-based,Git,R; Python,Yes,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Markdown; README files,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Documentation; Managing complexity and modular code development; Automated testing; Integrated development environments; Git branch design; Reproducible research,
,,2019-02-08 10:39:19.940335+00:00,macOS,,I don't use version control and I don't know what it is,Matlab; Python; C++; Fortran 90+,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Civil Engineering,Introduction to version control; Documentation; Managing complexity and modular code development; Automated testing; Integrated development environments; Reproducible research,
,,2019-02-08 15:13:21.813164+00:00,macOS,OSX Yosemite 10.10.5,Git,R; Python; Perl,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Biological Sciences,Introduction to version control; Documentation; Jupyter notebooks; Managing complexity and modular code development; Automated testing; Archaeology with Git; Git branch design; Reproducible research,
,,2019-02-10 15:49:45.385019+00:00,Linux,Cinnamon/ Mint,Git,R,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Markdown; README files,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Integrated development environments,
,,2019-02-12 14:15:39.279751+00:00,Linux,Ubuntu LTS 18.04,I don't use version control but I know what it is,Matlab; R; Python; C; Julia,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Reproducible research,An introduction to turning messy (but useful) code development into polished well-maintained repositories that others can use and contribute to!
,,2019-02-13 08:42:53.850714+00:00,macOS,Mojave 10.14.2,Git,Matlab; Python; C++,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No but I know what it is,Comments in the source code; PDF,GitHub; GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Automated testing; Archaeology with Git; Git branch design; Reproducible research,Learn how to improve my coding to make it easy for other people to join my own projects and also learn how to collaborate better while coding in external codes.
,,2019-02-27 11:55:01.354798+00:00,Linux,,I don't use version control but I know what it is,Matlab; Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; PDF,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Chemical Sciences,Introduction to version control; Documentation; Jupyter notebooks; Managing complexity and modular code development; Automated testing; Archaeology with Git; Git branch design; Reproducible research,
