Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is your current position?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,"Pre-workshop survey: Do you write tests (e.g. unit tests, integration tests, ...) in your programming project(s)?","Pre-workshop survey: Are you using automated testing platforms (e.g. Travis CI, Jenkins or GitLab CI) in your programming project(s)?",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using Jupyter Notebooks in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: Where did you find out this CodeRefinery workshop?,Pre-workshop survey: What do you expect to get from this course?
,,2020-11-16 21:13:32.091526+00:00,Researcher,Mechanical Engineering,Windows,,I don't use version control and I don't know what it is,Matlab; Python; C++,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Yes,No documentation,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From advisor/supervisor,
,,2020-11-16 09:44:33.324435+00:00,Graduate student,Mechanical Engineering,Linux,ubuntu 18.04,Git; Perforce,Python; C++; Fortran 77; Fortran 90+,No but I know what it is,No but I know what it is,No but I know what it is,Yes,Comments in the source code; Markdown,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From mailing list,deeper knowledge in all course topics
,,2020-11-16 09:14:36.033705+00:00,Postdoc,Chemical Sciences,Linux,Ubuntu 18.04.5,Git,Python; Fortran 77; Fortran 90+,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,README files,GitLab,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design,From advisor/supervisor,
,,2020-11-13 09:49:13.877494+00:00,Postdoc,Psychology,Windows,Windows 10 Pro,I don't use version control and I don't know what it is,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Markdown,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,Introduction to version control; Documentation; Reproducible research,From advisor/supervisor,
,,2020-11-11 15:40:49.423258+00:00,Researcher,Psychology,Windows,,I don't use version control and I don't know what it is,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No documentation,I'm not using a web-based repository,I have no programming experience,I do not know what most of these commands do,Introduction to version control; Documentation,From newsletter or university web site,
,,2020-11-10 16:00:25.984799+00:00,Graduate student,Computer and Information Sciences,Windows,Windows 10,Git,Python; C++,Yes,Yes,Yes,No but I know what it is,README files,GitHub,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,Managing complexity and modular code development; Git branch design; Software licensing; Reproducible research,From advisor/supervisor,To get some more understanding of version control and some nice tips and tricks that I can use straightaway in my own projects :)
,,2020-11-10 13:04:14.784844+00:00,Researcher,Biological Sciences,macOS,10.14.6,I don't use version control but I know what it is,R; Python,No but I know what it is,No but I know what it is,No but I know what it is,No but I know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Managing complexity and modular code development; Automated testing; Git branch design; Reproducible research,From mailing list,
,,2020-11-10 09:56:30.838447+00:00,Postdoc,Computer and Information Sciences,macOS,,Git,Python,Yes,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From advisor/supervisor,
,,2020-11-10 09:55:21.224666+00:00,Research software engineer,Nano-technology,Linux,Ubuntu 16,Git; Mercurial,Python; C++; Fortran 90+,Yes,No but I know what it is,Yes,Yes,Comments in the source code; Markdown; README files,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Reproducible research,From advisor/supervisor,Knowledge about how the best organization practice of code at UiO
,,2020-11-09 12:38:57.566086+00:00,Research software engineer,Physical Sciences,Linux,ubuntu 18,Git,R; Python; C; C++; Fortran 77; Fortran 90+; Other,Yes,Yes,No but I know what it is,Yes,Comments in the source code; readthedocs.org; HMTL; Markdown; README files,GitHub; GitLab,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Documentation; Collaborative distributed version control; Automated testing; Git branch design; Software licensing; Reproducible research,Other,
,,2020-11-08 19:08:44.085369+00:00,Professor,Physical Sciences,macOS,10.13.6,Git,Python; Fortran 77; Fortran 90+,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Other,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design,From friend/colleague,"feel fully comfortable with git and version control, learn about modular code development, be able to create/use tools for testing automatically my code."
,,2020-11-08 15:36:12.384267+00:00,Graduate student,Computer and Information Sciences,Linux,Pop!_OS 20.04 (basically Ubuntu 20.04 LTS),Git,Python; C++; Other,Yes,Yes,Yes,No and I don't know what it is,Comments in the source code; Doxygen; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Documentation; Jupyter notebooks; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From friend/colleague,best practices    python experience    learn a few more useful tools
,,2020-11-08 09:03:31.874133+00:00,Graduate student,Earth and Related Environmental Sciences,Windows,Windows 10 Enterprise,Git,Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code,GitHub,I have written my own simple programs,I do not know what most of these commands do,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From mailing list,"I would like to become proficient in Git and GitHub so that I can keep track of my PhD project  in Machine learning.     I am also particularly interested in learning about how to keep track using these tools when I have packages and modules which are used on multiple sub-projects. For example, should each package, as well as my main source code, have it's own git repo on my computer? Should I keep them all separate when I push them to GitHub, or put them all together for a certain project?     I look forward to this course.    Thank you,"
,,2020-11-06 14:04:11.578711+00:00,Professor,"Electrical Engineering, Electronic Engineering, Information Engineering",Windows,Windows 10,Git; Subversion,Matlab; Python; C,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub; GitLab; Bitbucket; Redmine,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Collaborative distributed version control; Git branch design; Reproducible research,From friend/colleague,
,,2020-11-06 12:05:26.232439+00:00,Researcher,Civil Engineering,Windows,command line from cygwin under windows machine,Git; Subversion,Python; C; C++,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Comments in the source code; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From friend/colleague,"interaction, activation and inspiration"
,,2020-11-03 21:56:56.761523+00:00,Graduate student,Computer and Information Sciences,Windows,windows 10 pro,Git,Python; Other,No and I don't know what it is,No and I don't know what it is,Yes,No but I know what it is,Comments in the source code,GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Documentation; Managing complexity and modular code development; Automated testing,From mailing list,
,,2020-10-29 19:25:56.558725+00:00,Graduate student,Other,macOS,,Git,Matlab; Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Comments in the source code; Markdown,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From friend/colleague,
,,2020-10-29 04:53:31.134940+00:00,Postdoc,Chemical Sciences,macOS,macOS High Sierra (10.13.6),Git,Python; C; Julia; Other,Yes,No but I know what it is,No but I know what it is,Yes,Comments in the source code,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Reproducible research,From friend/colleague,Good collaborative programing practices and expert advice on writing transparent code that generates reproducible results.
,,2020-10-27 18:11:20.729501+00:00,Researcher,Earth and Related Environmental Sciences,Windows,Edition: Windows 10 Home    Version: 1909,I don't use version control and I don't know what it is,R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,I'm not using a web-based repository,I have written my own simple programs,I do not know what most of these commands do,Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Reproducible research,From mailing list,"Being able to set-up and coordinate collaborative coding projects for scientific research (not too have software development, rather statistical and machine learning models for research purposes)"
,,2020-10-27 13:03:19.877389+00:00,Graduate student,Earth and Related Environmental Sciences,Windows,windows 10,I don't use version control and I don't know what it is,Matlab; R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No documentation; Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,I do not know what most of these commands do,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From newsletter or university web site,learn something on version control and start using it for my own codes
,,2020-10-26 09:06:59.911711+00:00,Graduate student,Biological Sciences,macOS,macOS Catalina,I don't use version control and I don't know what it is,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,HMTL; Markdown,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From newsletter or university web site,
,,2020-10-25 13:30:56.665418+00:00,Postdoc,Physical Sciences,Linux,Ubuntu 18.04,I don't use version control but I know what it is,Perl; Fortran 77; Fortran 90+,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No documentation; Comments in the source code; PDF,I'm not using a web-based repository; GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Reproducible research,From advisor/supervisor,
,,2020-10-23 16:48:28.475090+00:00,Postdoc,Biological Sciences,Windows,Windows10,I don't use version control and I don't know what it is; I don't use version control but I know what it is,R; Perl,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From friend/colleague,I expect to improve my programming skils.
,,2020-10-23 15:17:09.566260+00:00,Graduate student,Biological Sciences,macOS,MacOS Catalina 10.15.5,Git,R; Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; Markdown; README files,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Jupyter notebooks; Automated testing; Reproducible research,From mailing list,Programming experience.
