Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,Pre-workshop survey: Are you using automated testing in your programming project(s)?,"Pre-workshop survey: Are you using code coverage analysis in your programming project(s)? These are tools and services like Gcov, Cobertura, Codecov, Coveralls, Code Climate, etc.",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using the Travis or Jenkins or GitLab CI continuous integration service in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Are you using an integrated development environment (IDE) for your programming project(s)?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: What do you expect to get from this course?
,,2019-03-11 09:28:09.723444+00:00,Linux,Ubuntu 16.04 (Aalto installation),Git,Python; Other,Yes,No but I know what it is,No but I know what it is,No but I know what it is,RST/Sphinx; readthedocs.org; README files,GitHub; GitLab,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Computer and Information Sciences,Jupyter notebooks; Archaeology with Git; Git branch design; Reproducible research,
,,2019-03-11 15:23:27.362531+00:00,macOS,macOS Mojave version 10.14.3,I don't use version control but I know what it is,R; Python; Other,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Markdown; README files,GitHub; Other,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Health Sciences,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Automated testing; Reproducible research,I expect to get knowledge how to make/present my code in a way that it would be usable to others.
,,2019-03-11 17:00:35.128211+00:00,Linux,Debian 9,Git,Python; C; C++,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub; GitLab; Bitbucket,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Physical Sciences,Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,"To integrate my knowledge, acquired by googling, with best practices and examples of how things are done best.    To learn about more advanced development tools and practices e.g. automated testing and documentation tools,"
,,2019-03-12 06:08:14.715045+00:00,Linux,Ununtu,Git,Python; C; C++,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Doxygen,GitHub; GitLab; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Physical Sciences,Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,
,,2019-03-12 11:51:55.832144+00:00,Linux,Ubuntu 18.04,Git,Matlab; Python; Fortran 90+,Yes,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Physical Sciences,Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Reproducible research,To perhaps find a bit more efficient ways to develop software.
,,2019-03-12 11:54:37.205998+00:00,macOS,,I don't use version control but I know what it is,Matlab; R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written my own simple programs,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mathematics,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Integrated development environments,To learn some basic skills related to these topics.
,,2019-03-12 12:31:27.734106+00:00,Windows,Windows 10,Git,R; Python,No but I know what it is,No but I know what it is,Yes,No but I know what it is,Comments in the source code; Markdown; README files,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Computer and Information Sciences,Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,Reproducible research and Automated testing would help me write efficient code.
,,2019-03-12 12:55:37.916672+00:00,Linux,Ubuntu 16.04.4 LTS Xenial Xerus (x86-64),I don't use version control but I know what it is; Git,Matlab; Python; Fortran 90+; Go,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know what it is,Comments in the source code; PDF; Markdown; README files,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Physical Sciences,Introduction to version control; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Archaeology with Git; Git branch design,I expect to become more a bit more proffessional when writing and mantaining software. I have used git a little and would like to familiarize myself with it more. Also learning about Jupyter notebooks seems interesting since I use python. I am also keen to find out what docker is and how containers are used.
,,2019-03-12 14:40:41.774320+00:00,macOS,HIgh Sierra 10.13.6,Git,Python,No but I know what it is,No but I know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Mathematics,Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Reproducible research,
,,2019-03-12 16:05:35.041774+00:00,macOS,,I don't use version control and I don't know what it is,Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Introduction to version control; Documentation; Jupyter notebooks; Automated testing; Archaeology with Git; Reproducible research,"Basic understanding of what version control is and how to use it, basics of Github, good practises of making reproducible research, and to understand the things on the lists above I now do not even know the meaning of."
,,2019-03-12 17:06:32.225240+00:00,macOS,MacOS 10.12.6,Git,R; Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub; GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Reproducible research,
,,2019-03-12 21:37:47.608321+00:00,Linux,Ubuntu 18.04.2 LTS (Bionic Beaver),Git,Python; C++; Other,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Physical Sciences,Automated testing; Building portable code with CMake; Integrated development environments; Git branch design; Software licensing; Reproducible research,So far I've mostly only worked on my own projects or with small groups. I'm hoping to learn how to efficiently utilize professional tools and improve my skills of working in bigger groups of developers.
,,2019-03-13 09:58:32.033531+00:00,Linux,ubuntu 18.04,Git,Matlab; Python; C; C++,Yes,No but I know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; PDF,GitLab; Bitbucket,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,"Electrical Engineering, Electronic Engineering, Information Engineering",Documentation; Managing complexity and modular code development; Software licensing,
,,2019-03-13 13:30:24.317786+00:00,Linux,Ubuntu 18.04.2,Git,Matlab; R; Python; Haskell,No but I know what it is,No and I don't know what it is,No but I know what it is,No but I know what it is,Comments in the source code; Wiki; Markdown,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Psychology,Managing complexity and modular code development; Automated testing; Building portable code with CMake; Git branch design; Reproducible research,
,,2019-03-15 07:37:49.330884+00:00,macOS,Mojave,Git,Julia,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mathematics,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Integrated development environments; Git branch design; Reproducible research,Learning best practices from software design to apply to my own research and provide guidelines to my research group.
