Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,Pre-workshop survey: Are you using automated testing in your programming project(s)?,"Pre-workshop survey: Are you using code coverage analysis in your programming project(s)? These are tools and services like Gcov, Cobertura, Codecov, Coveralls, Code Climate, etc.",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using the Travis or Jenkins or GitLab CI continuous integration service in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Are you using an integrated development environment (IDE) for your programming project(s)?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: What do you expect to get from this course?
,,2019-02-14 15:55:58.982557+00:00,macOS,macOS 10.13.6,I don't use version control but I know what it is; Git,R; Python; Perl,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; PDF; README files,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Biological Sciences,Documentation; Jupyter notebooks; Managing complexity and modular code development; Building portable code with CMake; Integrated development environments,Learn new tricks and add structure to my skills
,,2019-02-22 15:15:58.139408+00:00,Windows,Windows 10,I don't use version control and I don't know what it is,Matlab; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Earth and Related Environmental Sciences,Introduction to version control; Documentation; Managing complexity and modular code development,Ideally the course would help me better document my code and to create a version that I feel comfortable sharing with others.
,,2019-02-26 09:24:21.860048+00:00,macOS,macOS Sierra,Git,R; Python,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know what it is,Comments in the source code; Wiki; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Managing complexity and modular code development; Automated testing; Git branch design,Learn about coding modularity and get ideas on how to integrate testing without too much overhead
,,2019-02-26 10:01:14.607507+00:00,Linux,I am using Ubuntu Ubuntu 18.04.2 LTS,I don't use version control and I don't know what it is,R; Python; Other,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files; Other,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Biological Sciences,Documentation,"More knowledge and useful tips in programming, documentation and software to make sharing the files easier and the methodological steps taken in the project transparent for all the other scientists."
,,2019-02-26 12:37:19.380675+00:00,Linux,Ubuntu 16.04,Git,Python,No but I know what it is,Yes,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,GitHub; GitLab; Bitbucket,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Introduction to version control; Jupyter notebooks; Collaborative distributed version control; Building portable code with CMake; Archaeology with Git; Git branch design; Software licensing,
,,2019-02-26 13:20:52.457107+00:00,Windows,Windows 10 Pro (64-bit),I don't use version control but I know what it is,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Markdown; README files,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Introduction to version control; Documentation; Managing complexity and modular code development; Reproducible research,I expect to learn how to document my code and use version control with tools that make it easy. The goal of these for me would be able to easily produce good code that can be used in reproducible research.
,,2019-02-26 13:26:36.735465+00:00,Windows,Win 10,I don't use version control but I know what it is,R; Python,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Chemical Sciences,Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing,"Better work discipline tips and new tools to enhance the data analysis in analytical chemistry. Also, to get a more informed understanding of the work programmers are doing under our project."
,,2019-02-27 10:19:43.826527+00:00,macOS,macos mojave,Git,R; Python,No but I know what it is,No but I know what it is,Yes,Yes,Comments in the source code; HMTL; Markdown; README files,GitHub; Bitbucket,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,Harmonise my code writing skills with professional approach.
,,2019-02-27 11:55:46.569641+00:00,Windows,win 10,I don't use version control but I know what it is,Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Wiki; Markdown; README files,I'm not using a web-based repository; GitLab; Bitbucket,I have written my own simple programs,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Jupyter notebooks,
,,2019-02-27 13:13:56.812760+00:00,Windows,Windows 10,I don't use version control but I know what it is,R,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Health Sciences,Introduction to version control; Collaborative distributed version control; Managing complexity and modular code development; Automated testing,
