Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is your current position?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Where did you find out this CodeRefinery workshop?,"Pre-workshop survey: Would you mind if the workshop was recorded and posted, with your voice but without your names or pictures?",Pre-workshop survey: Would you mind if the workshop was being streamed online in parallel?,Pre-workshop survey: What do you expect to get from this course?
,,2020-04-06 21:41:33.017526+00:00,Researcher,Biological Sciences,Linux,Git,R; Python; Perl; C++,No but I know what it is,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From mailing list,No,No,
,,2020-04-06 13:38:19.712704+00:00,Postdoc,Biological Sciences,macOS,Git,R; C++,No and I don't know what it is,GitHub; Bitbucket,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From mailing list,No,No,To get a more structured knowledge about version control and get more comfortable using all its functionality.
,,2020-04-06 09:42:32.650163+00:00,Graduate student,"Electrical Engineering, Electronic Engineering, Information Engineering",macOS,Git,R; Python; C++; Julia,Yes,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From newsletter or university web site,No,No,I don't mind being recorded or streaming online.    I would suggest an example to do during workshop to get everybody involved to get the best out of our time.
,,2020-04-06 08:58:38.793732+00:00,Postdoc,Physical Sciences,Linux,I don't use version control but I know what it is,Python; C; C++,No and I don't know what it is,I'm not using a web-based repository,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From newsletter or university web site,No,No,
,,2020-04-06 08:48:01.606154+00:00,Researcher,Earth and Related Environmental Sciences,Linux,I don't use version control and I don't know what it is,Matlab; Python; Fortran 90+,No and I don't know what it is,I'm not using a web-based repository,I have written my own simple programs,I do not know what most of these commands do,From friend/colleague,No,No,"In the end it would be nice to better share code (infrastructure -> version Control). Until now, I just really used matlab (python and fortran just for making code by others run to use it), but outside a program i'm lost in infrastructure that I don't really know /understand. It also would be awesome to start understanding how to effectively work kind of simultaneous on one Project.    One Problem might be that I'm a total beginner in Linux and git and python etc. and know very few of the Handy Tools that are available. So finally, I hope to get to know to some of those tools. :)"
,,2020-04-06 08:12:17.212515+00:00,Graduate student,Biological Sciences,Linux,I don't use version control but I know what it is,R,No and I don't know what it is,GitHub,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From advisor/supervisor,No,No,
,,2020-04-06 08:11:12.591679+00:00,Graduate student,Earth and Related Environmental Sciences,Linux,Git,R; Python; Fortran 90+,No and I don't know what it is,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From mailing list,No,No,"Some practical introduction to using version control in research applications; not in-depth, but enough to get started."
,,2020-04-06 07:58:36.242459+00:00,Graduate student,Biological Sciences,macOS,I don't use version control but I know what it is,R; Python; Perl,No but I know what it is,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From newsletter or university web site,No,No,To get back up with version control - i started once with git but abandoned it because i never took the time to fully learn
,,2020-04-06 02:27:13.665462+00:00,Undergraduate student,Mechanical Engineering,Linux,I don't use version control but I know what it is,Python; C++,No and I don't know what it is,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From advisor/supervisor,No,No,A basic understanding of version control
,,2020-04-03 07:09:45.335557+00:00,Researcher,Biological Sciences,Linux,Git,R; Python; C,No and I don't know what it is,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From newsletter or university web site,No,No,Better understanding of control version and Git so I can be more elective on my work and collaborate with my team
