Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is your current position?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,"Pre-workshop survey: Do you write tests (e.g. unit tests, integration tests, ...) in your programming project(s)?","Pre-workshop survey: Are you using automated testing platforms (e.g. Travis CI, Jenkins or GitLab CI) in your programming project(s)?",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using Jupyter Notebooks in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Are you using an integrated development environment (IDE) for your programming project(s)?,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: Where did you find out this CodeRefinery workshop?,Pre-workshop survey: What do you expect to get from this course?
,,2020-05-14 12:18:54.538980+00:00,Research software engineer,Biological Sciences,Windows,,Git,R; Python,Yes,Yes,Yes,No but I know what it is,Markdown; README files,GitHub; GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Managing complexity and modular code development; Automated testing; Reproducible research,From mailing list,
,,2020-05-14 09:52:58.893241+00:00,Graduate student,Biological Sciences,macOS,,I don't use version control but I know what it is; Git,R; Python; Other,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; Markdown; README files,I'm not using a web-based repository; GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Documentation; Jupyter notebooks; Managing complexity and modular code development; Reproducible research,From newsletter or university web site,"To learn more about how to work efficiently and safe, using reproducible best practice."
,,2020-05-14 09:44:47.928600+00:00,Graduate student,Chemical Sciences,Linux,Ubuntu 18.04,Git,Python; C; Fortran 90+,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Comments in the source code; Markdown; README files,GitHub; GitLab; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From mailing list,Learn about good software development practices!
,,2020-05-14 09:30:33.562983+00:00,Postdoc,"Electrical Engineering, Electronic Engineering, Information Engineering",Linux,Ubuntu 18.04.4 LTS,I don't use version control but I know what it is,Matlab; Python,Yes,No and I don't know what it is,No but I know what it is,No but I know what it is,Comments in the source code; PDF,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Reproducible research,From mailing list,To get a few insights and learn from others' experiences.
,,2020-05-14 09:24:38.283773+00:00,Research software engineer,Computer and Information Sciences,Windows,,Git,C++,Yes,Yes,Yes,No but I know what it is,Comments in the source code; Doxygen; Wiki; RST/Sphinx; Markdown,GitHub,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Managing complexity and modular code development; Automated testing; Reproducible research,From newsletter or university web site,
,,2020-05-13 11:03:33.231870+00:00,Researcher,Mechanical Engineering,macOS,macOS Catalina. I can also use Ubuntu and CentOS,Git,Matlab; Python; C++; Other,No but I know what it is,No but I know what it is,No but I know what it is,Yes,Comments in the source code; Markdown; README files,GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Introduction to version control; Jupyter notebooks; Automated testing; Git branch design; Reproducible research,From mailing list,
,,2020-05-12 22:43:31.524612+00:00,Other,Biological Sciences,Linux,,Git,R; Python; Haskell,Yes,Yes,Yes,Yes,Comments in the source code; RST/Sphinx; README files,GitLab,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Managing complexity and modular code development; Automated testing; Git branch design; Reproducible research,From friend/colleague,Expect to improve my knowledge of code development and project organization as well as good practices for reproducible research
,,2020-05-12 13:34:35.212621+00:00,Undergraduate student,Civil Engineering,Linux,Ubuntu 19.10,Git,R; Python; Perl,No but I know what it is,No but I know what it is,No but I know what it is,Yes,Comments in the source code,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Documentation; Jupyter notebooks; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From newsletter or university web site,
,,2020-05-12 13:15:53.816890+00:00,Researcher,Clinical Medicine,Windows,"Windows 10, but with Bash for windows installed.",Git,R; Python; Rust,No but I know what it is,No but I know what it is,No but I know what it is,Yes,Comments in the source code; Markdown; README files,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Documentation; Managing complexity and modular code development; Automated testing; Reproducible research,From mailing list,Better structure of my software developing projects
,,2020-05-12 10:49:29.257366+00:00,Researcher,Biological Sciences,macOS,macOS 10.14,Git,R; Python; Perl,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; Wiki; README files,GitHub; Bitbucket; Redmine,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Documentation; Collaborative distributed version control; Automated testing; Reproducible research,From friend/colleague,Better understanding of reproducibility options. A better framework for documentation of my coding
